================ Training Loss (Wed Jul  5 21:28:59 2023) ================
(epoch: 15, iters: 160, time: 0.243, data: 0.009) loss: 1.871 
(epoch: 15, iters: 240, time: 0.243, data: 0.009) loss: 2.182 
(epoch: 15, iters: 320, time: 0.244, data: 0.008) loss: 2.625 
(epoch: 15, iters: 400, time: 0.245, data: 0.008) loss: 1.857 
(epoch: 15, iters: 480, time: 0.244, data: 0.006) loss: 2.119 
(epoch: 16, iters: 80, time: 0.246, data: 2.162) loss: 1.612 
(epoch: 16, iters: 160, time: 0.246, data: 0.000) loss: 1.526 
(epoch: 16, iters: 240, time: 0.246, data: 0.000) loss: 1.696 
(epoch: 16, iters: 320, time: 0.245, data: 0.034) loss: 1.938 
(epoch: 16, iters: 400, time: 0.244, data: 0.000) loss: 1.549 
(epoch: 16, iters: 480, time: 0.245, data: 0.000) loss: 1.663 
(epoch: 17, iters: 80, time: 0.244, data: 1.002) loss: 1.494 
(epoch: 17, iters: 160, time: 0.244, data: 0.009) loss: 1.727 
(epoch: 17, iters: 240, time: 0.244, data: 0.000) loss: 1.698 
(epoch: 17, iters: 320, time: 0.245, data: 0.013) loss: 1.465 
(epoch: 17, iters: 400, time: 0.243, data: 0.006) loss: 1.391 
(epoch: 17, iters: 480, time: 0.244, data: 0.000) loss: 1.795 
(epoch: 18, iters: 80, time: 0.245, data: 1.011) loss: 1.725 
(epoch: 18, iters: 160, time: 0.244, data: 0.007) loss: 1.727 
(epoch: 18, iters: 240, time: 0.244, data: 0.007) loss: 1.568 
(epoch: 18, iters: 320, time: 0.244, data: 0.008) loss: 1.933 
(epoch: 18, iters: 400, time: 0.246, data: 0.007) loss: 1.587 
(epoch: 18, iters: 480, time: 0.244, data: 0.008) loss: 1.844 
(epoch: 19, iters: 80, time: 0.244, data: 0.596) loss: 1.886 
(epoch: 19, iters: 160, time: 0.245, data: 0.000) loss: 1.857 
(epoch: 19, iters: 240, time: 0.245, data: 0.018) loss: 1.671 
(epoch: 19, iters: 320, time: 0.244, data: 0.000) loss: 1.635 
(epoch: 19, iters: 400, time: 0.245, data: 0.000) loss: 1.532 
(epoch: 19, iters: 480, time: 0.244, data: 0.020) loss: 1.675 
(epoch: 20, iters: 80, time: 0.246, data: 1.418) loss: 1.232 
